source,series_id,series_label,weighting,window,class,long_side,excess_convention,n_months,ann_arith_return_pct,ann_geo_return_pct,ann_vol_pct,sharpe_excess_rf,max_drawdown_pct
french,BETA_D_spread,10 Portfolios Formed on Market Beta - top minus bottom decile (long=low; standard betting-against-beta anomaly (Frazzini-Pedersen 2014); not independently re-verified today),ew,W_common,b,low,already_excess,15,-6.832,-7.7869,16.1902,-0.422,-18.1393
french,BETA_D_spread,10 Portfolios Formed on Market Beta - top minus bottom decile (long=low; standard betting-against-beta anomaly (Frazzini-Pedersen 2014); not independently re-verified today),vw,W_select,b,low,already_excess,27,-11.9822,-18.7836,42.0316,-0.2851,-51.3175
french,BETA_D_spread,10 Portfolios Formed on Market Beta - top minus bottom decile (long=low; standard betting-against-beta anomaly (Frazzini-Pedersen 2014); not independently re-verified today),ew,W_select,b,low,already_excess,27,-2.8711,-3.8739,14.8376,-0.1935,-18.1393
french,CFP_D_decile01,10 Portfolios Formed on CF/P - decile 1 (Lo),vw,W_common,a,n/a,subtract_rf,15,34.832,39.6435,14.665,2.0192,-3.99
french,CFP_D_decile01,10 Portfolios Formed on CF/P - decile 1 (Lo),ew,W_common,a,n/a,subtract_rf,15,20.36,20.3727,19.1494,0.792,-5.24
french,CFP_D_decile01,10 Portfolios Formed on CF/P - decile 1 (Lo),vw,W_select,a,n/a,subtract_rf,27,28.8667,31.1017,17.6366,1.3704,-15.3603
french,CFP_D_decile01,10 Portfolios Formed on CF/P - decile 1 (Lo),ew,W_select,a,n/a,subtract_rf,27,13.9467,13.3299,16.9881,0.5433,-13.486
french,CFP_D_decile02,10 Portfolios Formed on CF/P - decile 2 (2),vw,W_common,a,n/a,subtract_rf,15,34.872,39.5401,15.4553,1.9179,-4.1
french,CFP_D_decile02,10 Portfolios Formed on CF/P - decile 2 (2),ew,W_common,a,n/a,subtract_rf,15,18.184,18.2642,16.7488,0.7764,-5.48
french,CFP_D_decile02,10 Portfolios Formed on CF/P - decile 2 (2),vw,W_select,a,n/a,subtract_rf,27,24.0444,25.6094,14.7143,1.3152,-9.9076
french,CFP_D_decile02,10 Portfolios Formed on CF/P - decile 2 (2),ew,W_select,a,n/a,subtract_rf,27,11.3467,10.7129,15.3614,0.4316,-16.4867
french,CFP_D_decile03,10 Portfolios Formed on CF/P - decile 3 (3),vw,W_common,a,n/a,subtract_rf,15,21.568,22.843,13.3153,1.2334,-5.24
french,CFP_D_decile03,10 Portfolios Formed on CF/P - decile 3 (3),ew,W_common,a,n/a,subtract_rf,15,18.576,18.5077,17.8794,0.7492,-6.24
french,CFP_D_decile03,10 Portfolios Formed on CF/P - decile 3 (3),vw,W_select,a,n/a,subtract_rf,27,17.24,17.9884,11.0889,1.1332,-5.24
french,CFP_D_decile03,10 Portfolios Formed on CF/P - decile 3 (3),ew,W_select,a,n/a,subtract_rf,27,12.8311,12.3922,15.1366,0.5361,-13.0384
french,CFP_D_decile04,10 Portfolios Formed on CF/P - decile 4 (4),vw,W_common,a,n/a,subtract_rf,15,25.352,27.8689,10.614,1.8998,-2.12
french,CFP_D_decile04,10 Portfolios Formed on CF/P - decile 4 (4),ew,W_common,a,n/a,subtract_rf,15,19.048,19.0707,17.8212,0.7781,-7.33
french,CFP_D_decile04,10 Portfolios Formed on CF/P - decile 4 (4),vw,W_select,a,n/a,subtract_rf,27,27.5956,30.3356,13.0231,1.7552,-11.6271
french,CFP_D_decile04,10 Portfolios Formed on CF/P - decile 4 (4),ew,W_select,a,n/a,subtract_rf,27,15.1911,15.0376,15.1899,0.6896,-14.1358
